Watershed,Site,Tot_inv_abun,FBI,Family_Shannon,Family_Richness,Family_Eveness,EPT,FFG_Pred,FFG_Graze,FFG_Collect_Gath,FFG_Collect_Filt,FFG_Shredder,N_Uptake,N_Uptake_Cat,N_Distance,N_Rate,N_Q,Water_Cat,pH,Temp,DO_per,DO_ppm,SPC,TDS,PO4,NO3,NH3,BOD,TSS,Discharge,Chloride,Imper_Catch,Imper_5m,Arsenic,Mercury,Lead,Wetland,Forest,Grass,Agricultural,Mat_Tree_D,Sap_Tree_D,Tot_Tree_D,Invas_Shrub_D,Mature_Helio_IV,Mature_Inter_IV,Mature_Meso_IV,Sapling_Helio_IV,Sapling_Inter_IV,Sapling_Meso_IV,Mature_rich,Mature_Shan_H,Mature_Shan_E,Sapling_Rich,Sapling_Shan_H,Sapling_Shan_E,ACNE_MD,ACNE_MI
Rock Island,RI11,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,NA,0,NA,3,8.06,21.4,80.1,6.99,1114.05,771,0.88,2.25,0.24,0.83,NA,0.04587,165,33.76,26.8,11.6,2,8.06,0,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI12,NA,5.46,1.6,22,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8.07099999999999,20.1,81.5,7.29,1329,870,0.74,1.76,0.02,1.72,1220,0.00169,178,35,27,12.6,2.8,7.6,0,0,34.699999999999996,0,211.22,307.96,519.18,1707.1,0.42,0.49,0.09,0.36,0.51,0.13,13,2.09,0.81,15,2.33,0.86,0,0
Rock Island,RI13,NA,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,NA,-0.0013,4e-4,3,8.14,20.6,84.6,7.45,1248.63,914,1.15,2.81,0.16,0.65,NA,0.05889,195,35.62,29.2,12,2.4,8.14,0,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI16,13.33,6.24,2.35,21,0.78,1.71,0.19,0.36,0.33,0.15,NA,NA,NA,NA,NA,NA,3,7.944,20.3,69.5,6.17,1466,954,1.17,1.7,0.02,1.5,1110,0.00657,193,41,6,11.25,4.5,7.75,0,7.4,26,0,151.94,304.31,456.24,353.7,0.22,0.64,0.14,0.27,0.61,0.12,14,2.49,0.94,14,2.19,0.83,18.088,0.081
Rock Island,RI19,28.87,6.46,2,26,0.62,0.18,0.46,0.74,0.59,0.41,NA,NA,NA,NA,NA,NA,3,7.828,20.2,60.7,6.07,1465,823,1.03,2.11,0.06,1.15,900,0.00488,161,47,30,13.25,2.25,4.25,0,0,9,0,203.55,241.5,445.05,553.5,0.15,0.69,0.16,0.17,0.83,0,12,2.14,0.86,11,2.08,0.87,7.142,0.032
Rock Island,RI2,22.13,7.3,1.48,17,0.52,0.491,0.06,0.45,0.78,0.11,NA,NA,NA,NA,NA,NA,3,7.522,19.3,43.36,3.95,1270,823,1.34,2.4,0.05,1.87,860,0.01014,207.5,51,50,10.8,2.8,3.2,0,1.7,6.5,0,186.32,154.19,340.5,90.2,0.21,0.7,0.09,0.02,0.96,0.02,14,2.4,0.91,10,1.59,0.69,22.11,0.1
Rock Island,RI22,NA,7.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,56.18,-0.0178,0.0028,3,7.69,22.7,57,4.79,1222.13,779,1.64,1.25,0.28,0.61,NA,0.00398,107.03,47.25,29.7,11.25,2.25,7.69,0,0,4.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI3,NA,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,59.52,-0.0168,0.0384,3,7.74,19.57,72.18,6.56,1151.13,800,1.2,3.05,0.2,0.84,NA,0.02482,184,50.51,46.8,11.4,1.4,7.74,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI4,NA,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,52.08,-0.0192,0.0457,3,8.19,20.25,69.5,6.19,879.11,623,1.1,2.69,0.18,0.55,NA,0.07211,122,45.01,38.3,10.8,2.6,7.91,0,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI6,11.4,5.55,1.94,14,0.74,0.432,0.25,0.23,0.25,0.27,NA,Yes,1,163.93,-0.0061,0.0228,3,8.067,20.2,79.4,7.11,943,613,0.98,1.67,0.02,1.2,600,0.01828,180,42,33,13.2,2.4,1.6,0,8.2,19,0,244.62,208.43,453.05,572.5,0.29,0.63,0.08,0.04,0.86,0.1,19,2.59,0.88,11,1.95,0.81,10.192,0.039
Rock Island,RI7,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,243.9,-0.0041,0.0061,3,8.01,20.5,79.9,7.22,1035.63,678,0.89,2.23,0.15,0.65,NA,0.01772,102.46,24.82,15.3,12.8,2.4,8.05,0,26,43.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rock Island,RI9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,81.3,-0.0123,0.0021,3,7.89,20.2,72.8,6.48,1078.75,700,0.75,1.33,0.16,0.75,NA,0.00778,79.75,18.46,0.4,10.2,2.6,7.89,0,88,93.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
